1036_jpg.rf.d9ea75ad59f96def64561a8d1672347d.jpg,192,196,279,264,mask
1036_jpg.rf.d9ea75ad59f96def64561a8d1672347d.jpg,45,268,362,291,bar
1139_jpg.rf.e17b35e2bc3bcde5c145d07deabd4ed3.jpg,0,134,155,167,wire
1139_jpg.rf.e17b35e2bc3bcde5c145d07deabd4ed3.jpg,158,142,269,180,multiOutlet
1139_jpg.rf.e17b35e2bc3bcde5c145d07deabd4ed3.jpg,269,130,415,217,wire
1139_jpg.rf.e17b35e2bc3bcde5c145d07deabd4ed3.jpg,1,244,416,290,wire
0305_jpg.rf.e88d407f5ff0249e629616250dddde31.jpg,82,195,183,210,pen
0305_jpg.rf.e88d407f5ff0249e629616250dddde31.jpg,16,195,121,212,pen
0305_jpg.rf.e88d407f5ff0249e629616250dddde31.jpg,0,202,415,268,wire
0305_jpg.rf.e88d407f5ff0249e629616250dddde31.jpg,69,0,405,197,chair
